name,description,prep_time,done?
Brownies aux noix de pécan,"Ingrédients : chocolat à cuire,noix de pécan,farine,beurre,sucre roux,oeuf.Faire fondre le chocolat avec le beurre, soit au bain-marie à feu doux, soit au micro-ondes sur programme 'décongélation'.Quand c'est...",35 min,false
Muffins à l’orange et au Nutella®,"Ingrédients : orange,oeuf,sucre,huile de tournesol,farine,levure ,sel,Nutella®.Préchauffez le four à 180°C (thermostat 6). ...",1h20,false
